Date,Morgan SWE ,Flood y/n,Flood,Hardscrabble (896) Snow Water Equivalent (in) Start of Day Values,Horse Ridge (533) Snow Water Equivalent (in) Start of Day Values,Kilfoil Creek (1145) Snow Water Equivalent (in) Start of Day Values,UTAH SWE,MorganTemp_Max (°F),MorganTemp_min (°F),MorganTemp_mean (°F),MorganPrecipitation_sum (inch),MorganRain_sum (inch),MorganSnowfall_sum (inch),MorganWindspeed_10m_max (mp/h)
10/1/1982,80,No,0,,1.9,,1.4,47.1,35.8,40.9,0.464,0.464,0,6.5
10/2/1982,80,No,0,,2.2,,1.4,56.4,34.9,45.7,0,0,0,5.6
10/3/1982,80.5,No,0,,2.2,,1.3,61.3,37.3,48.6,0,0,0,4.7
10/4/1982,81,No,0,,1.9,,1.3,64.8,41.3,51.9,0.094,0.094,0,9.1
10/5/1982,81,No,0,,1.6,,1.2,47.9,37.2,43.4,0.249,0.249,0,7.6
10/6/1982,81,No,0,,1.6,,1.2,59.4,32.5,45,0,0,0,6.8
10/7/1982,81,No,0,,1.6,,1.2,49.8,34,42.1,0.183,0.183,0,10.2
10/8/1982,81,No,0,,1.6,,1.2,43.2,29.9,36.4,0.02,0.02,0,8.5
10/9/1982,81,No,0,,1.5,,1.2,47.1,34,39.4,0,0,0,7
10/10/1982,81,No,0,,1.3,,1.2,48.5,29.8,39.1,0,0,0,5.9
10/11/1982,81,No,0,,1.3,,1.1,51.3,30.7,40.4,0,0,0,5.4
10/12/1982,81,No,0,,1.3,,1.1,58.8,32.5,44.6,0,0,0,4.4
10/13/1982,81,No,0,,1.1,,1.1,60.1,36.9,47.8,0,0,0,5.2
10/14/1982,81,No,0,,1.1,,1.1,63.2,35.9,49,0,0,0,3.8
10/15/1982,81,No,0,,0.9,,1,64.1,38.5,50.6,0,0,0,4.5
10/16/1982,81,No,0,,0.5,,0.9,63.2,38.5,50.8,0,0,0,5.7
10/17/1982,82,No,0,,0,,0.9,63.5,40.4,50.9,0,0,0,8.1
10/18/1982,82,No,0,,0,,0.8,50.6,34.9,45.2,0,0,0,9.5
10/19/1982,82,No,0,,0,,0.8,47.2,33.2,39.2,0,0,0,6.2
10/20/1982,82,No,0,,0,,0.8,52.9,31,41.7,0,0,0,3.9
10/21/1982,82,No,0,,0,,0.7,58.3,32.5,44.6,0,0,0,4.7
10/22/1982,82,No,0,,0,,0.7,59.8,36.4,47,0,0,0,5.9
10/23/1982,82.5,No,0,,0,,0.7,65,36.4,49.6,0,0,0,5.4
10/24/1982,82.5,No,0,,0,,0.7,62.3,39.4,50.2,0,0,0,6.2
10/25/1982,82.5,No,0,,0,,0.6,58.5,46.2,50.9,0.028,0.028,0,7
10/26/1982,82.5,No,0,,0,,0.6,60.6,36.3,45.3,0.738,0.65,0.634,13.2
10/27/1982,82.5,No,0,,0.4,,1,39.4,33.5,36.1,0.209,0.124,0.608,8.3
10/28/1982,82.5,No,0,,0.5,,1.1,39.7,20.4,31.7,0,0,0,6.3
10/29/1982,82.5,No,0,,0.6,,1.2,42.5,22.7,34.8,0.332,0.304,0.222,7.4
10/30/1982,83,No,0,,0.7,,1.3,43.1,39,40.5,0.84,0.84,0,6.6
10/31/1982,76.5,No,0,,0.9,,1.5,43.2,35.4,39.7,0.203,0.203,0,5.6
11/1/1982,76.5,No,0,,0.9,,1.6,42.2,30.9,35.4,0.15,0.088,0.441,6.5
11/2/1982,76.5,No,0,,0.9,,1.6,39.3,23.6,32.6,0,0,0,5.2
11/3/1982,76.5,No,0,,0.9,,1.7,42.9,13.4,28.5,0,0,0,4.6
11/4/1982,83,No,0,,0.9,,1.7,48.8,16.9,32.8,0,0,0,4.1
11/5/1982,83,No,0,,0.9,,1.8,48.6,21.8,35.1,0,0,0,5.4
11/6/1982,83,No,0,,0.9,,1.8,54.1,29.9,40.3,0,0,0,6.9
11/7/1982,84,No,0,,0.9,,1.8,48.4,29.9,38.7,0,0,0,7.1
11/8/1982,84,No,0,,0.9,,1.8,50.2,33.1,39.5,0.068,0.068,0,9.5
11/9/1982,84,No,0,,0.9,,2.1,46.6,29.5,37.6,0.06,0.06,0,10.8
11/10/1982,84,No,0,,0.9,,2.4,40.8,25.6,32.4,0.06,0.032,0.193,6.8
11/11/1982,84,No,0,,0.9,,2.7,36,26.6,30.7,0.024,0.02,0.168,7.1
11/12/1982,84,No,0,,0.9,,2.8,40.8,21.6,32.1,0,0,0.028,5.9
11/13/1982,84,No,0,,0.9,,2.9,34,23.5,30.6,0.115,0.02,0.689,13
11/14/1982,84.5,No,0,,0.9,,2.9,37.9,9.2,23.1,0,0,0,4.3
11/15/1982,84.5,No,0,,1.3,,3,39.9,14.1,26.7,0,0,0,4.5
11/16/1982,84.5,No,0,,1.3,,3,44.8,10.6,26.9,0,0,0,5.4
11/17/1982,84.5,No,0,,1.3,,3,47.1,17.5,32,0,0,0,5.5
11/18/1982,84.5,No,0,,1.3,,3.1,47.6,25,35.9,0.196,0.196,0,9.9
11/19/1982,84.5,No,0,,2,,3.5,39.3,28.6,34.8,1.057,0.554,3.557,7.2
11/20/1982,84.5,No,0,,2.2,,3.9,34.1,12.5,25.4,0.088,0.02,0.556,6.7
11/21/1982,85,Yes,1,,2.2,,4.1,35.3,15.1,27.3,0.036,0,0.333,7.2
11/22/1982,85,Yes,1,,2.5,,4.1,29.8,10.8,22.4,0.032,0,0.305,5.9
11/23/1982,85,Yes,1,,3.1,,4.2,29.5,4.6,13.3,0,0,0,6.1
11/24/1982,85,Yes,1,,3.1,,4.3,34.6,0.3,15.8,0,0,0,6.7
11/25/1982,85,Yes,1,,3.1,,4.3,35.3,16.5,25.2,0,0,0,4
11/26/1982,85,Yes,1,,3.4,,4.3,37.6,2.5,17,0,0,0,5.6
11/27/1982,85,Yes,1,,3.7,,4.4,41.3,6.4,23.6,0,0,0,4.3
11/28/1982,85,Yes,1,,3.8,,4.4,39.4,26.3,33,0.048,0.04,0.055,7.2
11/29/1982,85,Yes,1,,4,,4.5,39.4,30.4,34.4,0.246,0.136,0.772,7.8
11/30/1982,85,Yes,1,,5.4,,5,37.2,28.4,32.5,0.691,0.187,3.528,7.9
12/1/1982,85,Yes,1,,5.9,,6.1,33.1,29.1,31.2,1.114,0.024,7.635,6.6
12/2/1982,85,Yes,1,,5.9,,6.7,30.3,24.7,28.5,0.124,0.004,0.968,6.5
12/3/1982,85.5,Yes,1,,5.9,,6.8,37.6,24.1,29.7,0,0,0,6.7
12/4/1982,85.5,Yes,1,,6.5,,6.9,38.3,24.6,31.4,0,0,0,5.9
12/5/1982,85.5,Yes,1,,6.5,,7,38.3,28.5,33,0,0,0,5.8
12/6/1982,85.5,Yes,1,,6.5,,7,37.1,31.2,33.8,0.312,0.056,1.793,6.9
12/7/1982,85.5,Yes,1,,6.5,,7.2,30.7,18,26.1,0.297,0.008,2.068,6.5
12/8/1982,85.5,Yes,1,,6.5,,7.4,25.4,10.5,17,0,0,0.028,6.4
12/9/1982,85.5,Yes,1,,7.6,,7.5,38.7,11.8,21.6,0,0,0,5.4
