Date,Avg Salt Lake,Flood y/n,Flood,Atwater (1308) Snow Water Equivalent (in) Start of Day Values,Brighton (366) Snow Water Equivalent (in) Start of Day Values,Dry Fork (906) Snow Water Equivalent (in) Start of Day Values,Lookout Peak (596) Snow Water Equivalent (in) Start of Day Values,Louis Meadow (972) Snow Water Equivalent (in) Start of Day Values,Mill-D North (628) Snow Water Equivalent (in) Start of Day Values,Parleys Upper (856) Snow Water Equivalent (in) Start of Day Values,Snowbird (766) Snow Water Equivalent (in) Start of Day Values,UTAH SWE,Salt Lake CityTemp_Max (°F),Salt Lake CityTemp_min (°F),Salt Lake CityTemp_mean (°F),Salt Lake CityPrecipitation_sum (inch),Salt Lake CityRain_sum (inch),Salt Lake CitySnowfall_sum (inch),Salt Lake CityWindspeed_10m_max (mp/h),SnowbirdTemp_Max (°F),SnowbirdTemp_min (°F),SnowbirdTemp_mean (°F),SnowbirdPrecipitation_sum (inch),SnowbirdRain_sum (inch),SnowbirdSnowfall_sum (inch),SnowbirdWindspeed_10m_max (mp/h)
10/1/1982,94,Yes,1,,,,,,,,,1.4,36.7,26.4,31.5,0.239,0.076,1.216,5.9,49,37.8,42.9,0.024,0.024,0,7.2
10/2/1982,94.5,Yes,1,,,,,,,,,1.4,46.5,23.8,34.3,0,0,0,3.6,57,35.7,46.2,0,0,0,5.5
10/3/1982,95,Yes,1,,,,,,,,,1.3,50.9,25.8,37.3,0,0,0,5.7,63,36.9,49.5,0,0,0,9.1
10/4/1982,95,Yes,1,,,,,,,,,1.3,53.7,30.1,41.4,0.052,0.052,0,7.8,66.9,40.5,52.6,0.063,0.063,0,12.6
10/5/1982,95.5,Yes,1,,,,,,,,,1.2,37.7,26.8,34.1,0.321,0.131,1.324,6.5,48.5,39.8,44.1,0.323,0.323,0,8.1
10/6/1982,95.5,Yes,1,,,,,,,,,1.2,49.2,18.9,33.4,0,0,0,7.3,60.3,30.3,43.9,0,0,0,7.9
10/7/1982,96,Yes,1,,,,,,,,,1.2,42,26.3,33.4,0.23,0.104,0.884,7.4,51.4,35.2,41.4,0.163,0.163,0,11.4
10/8/1982,96,Yes,1,,,,,,,,,1.2,31.6,22.3,26.6,0.144,0.004,1.077,7.6,42.1,30.8,36.5,0.056,0.052,0.028,9.5
10/9/1982,96.5,Yes,1,,,,,,,,,1.2,34.8,21.9,27.9,0,0,0.084,7.2,45.9,33.7,39.1,0.004,0.004,0,10.7
10/10/1982,96.5,Yes,1,,,,,,,,,1.2,38.4,12.2,26.3,0,0,0,4.5,47.9,25.5,37,0,0,0,7.2
10/11/1982,96.5,Yes,1,,,,,,,,,1.1,41,16.1,28.5,0,0,0,5.9,50.6,25.3,38.2,0,0,0,8.6
10/12/1982,97,Yes,1,,,,,,,,,1.1,49.4,22.2,34.5,0,0,0,4.2,56.8,30.1,43.9,0,0,0,4.2
10/13/1982,97,Yes,1,,,,,,,,,1.1,50.5,28.6,38.6,0,0,0,3.8,58.7,35.7,47.1,0,0,0,4.9
10/14/1982,97,Yes,1,,,,,,,,,1.1,54.6,29.1,40.9,0,0,0,3.4,62.6,35.4,49.3,0,0,0,4.2
10/15/1982,97,Yes,1,,,,,,,,,1,56.3,30.8,42.6,0.004,0.004,0,5,65.2,36.9,51.5,0,0,0,4.4
10/16/1982,97,Yes,1,,,,,,,,,0.9,54.6,30.2,41.9,0.008,0.008,0,6.8,65.1,37.4,51.1,0,0,0,5.2
10/17/1982,97,Yes,1,,,,,,,,,0.9,55,33.1,42.7,0.04,0.04,0,9.5,65.1,39,52.2,0.016,0.016,0,10.3
10/18/1982,97,Yes,1,,,,,,,,,0.8,44.5,28.5,35.2,0,0,0,10.2,56.7,36.7,46.9,0,0,0,12
10/19/1982,97,Yes,1,,,,,,,,,0.8,40,25.3,31.6,0,0,0,6.2,47.3,32,39.5,0,0,0,6.1
10/20/1982,97,Yes,1,,,,,,,,,0.8,46.8,26.6,35.4,0,0,0,4.4,53.8,34.3,44.2,0,0,0,2.4
10/21/1982,97,Yes,1,,,,,,,,,0.7,50.3,27.2,37.8,0,0,0,3.9,60.5,35,47.2,0,0,0,5
10/22/1982,97,Yes,1,,,,,,,,,0.7,50.5,30.6,39.3,0.008,0.008,0,4,60.6,37.4,47.5,0,0,0,5.4
10/23/1982,96.5,Yes,1,,,,,,,,,0.7,56.9,30.7,42,0,0,0,6.3,67.1,36.7,50.3,0,0,0,6.7
10/24/1982,96.5,Yes,1,,,,,,,,,0.7,54.7,31.8,42.4,0.115,0.115,0,5.5,63.6,39.2,50.5,0.084,0.084,0,4.6
