Date,Utah Lake (10166500) % of Reservoir Capacity Start of Day Values,Flood y/n,Flood,Payson R.S. (686) Snow Water Equivalent (in) Start of Day Values,Timpanogos Divide (820) Snow Water Equivalent (in) Start of Day Values,UTAH SWE,springvilleTemp_Max (°F),springvilleTemp_min (°F),springvilleTemp_mean (°F),springvillePrecipitation_sum (inch),springvilleRain_sum (inch),springvilleSnowfall_sum (inch),springvilleWindspeed_10m_max (mp/h),provoTemp_Max (°F),provoTemp_min (°F),provoTemp_mean (°F),provoPrecipitation_sum (inch),provoRain_sum (inch),provoSnowfall_sum (inch),provoWindspeed_10m_max (mp/h),American ForkTemp_Max (°F),American ForkTemp_min (°F),American ForkTemp_mean (°F),American ForkPrecipitation_sum (inch),American ForkRain_sum (inch),American ForkSnowfall_sum (inch),American ForkWindspeed_10m_max (mp/h)
10/1/1982,107,Yes,1,2.9,1.1,1.4,42.5,32.3,37.4,0.216,0.088,0.912,6.4,41.7,31.5,36.6,0.116,0.08,0.307,5.6,50.6,39.3,44.4,0.108,0.108,0,7.7
10/2/1982,108,Yes,1,2.7,1.1,1.4,52.4,32.4,42.6,0,0,0,4.8,51.6,31.6,41.8,0,0,0,4.3,58.6,37.2,47.7,0,0,0,6.5
10/3/1982,108,Yes,1,2.5,1.1,1.3,59,31.8,45.2,0,0,0,6.9,58.2,31,44.4,0,0,0,6.2,64.5,38.4,51,0,0,0,6.7
10/4/1982,108,Yes,1,2.4,1.1,1.3,61.7,34.7,48.2,0.079,0.079,0,9.6,60.9,34,47.4,0.008,0.008,0,8.3,68.4,42,54.1,0.122,0.122,0,11.7
10/5/1982,106,Yes,1,2.4,1.1,1.2,44.2,35.2,39.8,0.362,0.213,1.048,6,43.4,34.4,39,0.239,0.2,0.278,6.2,50,41.3,45.6,0.348,0.348,0,8.3
10/6/1982,107,Yes,1,2.3,1.1,1.2,56.7,26.6,40.5,0,0,0,7.4,55.9,25.9,39.7,0,0,0,6.5,61.8,31.8,45.5,0,0,0,8.1
10/7/1982,108,Yes,1,2.3,1.1,1.2,51.4,32,38.5,0.241,0.148,0.689,7.8,50.6,31.2,37.7,0.168,0.12,0.331,10,52.9,36.7,42.9,0.29,0.29,0,11.8
10/8/1982,107,Yes,1,2.5,1.1,1.2,38,27.7,32.2,0.124,0.028,0.776,7,37.2,26.9,31.4,0.108,0.016,0.691,7.2,43.6,32.3,38,0.04,0.032,0.056,9.5
10/9/1982,107,Yes,1,2.6,1.1,1.2,41.9,28,34,0,0,0.056,8.3,41.1,27.2,33.2,0.008,0,0.055,7.3,47.4,35.3,40.7,0,0,0,9.4
10/10/1982,107,Yes,1,2.3,1.1,1.2,44.8,24.6,34.2,0,0,0,5.4,44,23.8,33.4,0,0,0,5.1,49.4,27,38.5,0,0,0,6.8
10/11/1982,108,Yes,1,1.7,1.1,1.1,47,25.7,35.7,0,0,0,6.3,46.2,25,34.9,0,0,0,6.3,52.1,26.8,39.7,0,0,0,6.4
10/12/1982,108,Yes,1,1.6,1.1,1.1,54.4,28.9,40.9,0,0,0,4.3,53.6,28.1,40.1,0,0,0,3.7,58.3,31.7,45.4,0,0,0,5.5
10/13/1982,108,Yes,1,1.6,1.1,1.1,54.6,33.4,43.3,0,0,0,4.4,53.8,32.6,42.5,0.008,0.008,0,3.5,60.2,37.2,48.7,0,0,0,5.4
10/14/1982,108,Yes,1,1.6,1.1,1.1,59.3,31.1,44.7,0,0,0,3.8,58.5,30.3,44,0,0,0,3.5,64.1,37,50.8,0,0,0,4.8
