Date,Causey Reservoir (10137290) % of Reservoir Capacity Start of Day Values,Pineview Reservoir (10139000) % of Reservoir Capacity Start of Day Values,Weber SWE,,Flood,Ben Lomond Peak (332) Snow Water Equivalent (in) Start of Day Values,Ben Lomond Trail (333) Snow Water Equivalent (in) Start of Day Values,Lightning Ridge (1056) Snow Water Equivalent (in) Start of Day Values,UTAH SWE,OgdenTemp_Max (°F),OgdenTemp_min (°F),OgdenTemp_mean (°F),OgdenPrecipitation_sum (inch),OgdenRain_sum (inch),OgdenSnowfall_sum (inch),OgdenWindspeed_10m_max (mp/h),hooperTemp_Max (°F),hooperTemp_min (°F),hooperTemp_mean (°F),hooperPrecipitation_sum (inch),hooperRain_sum (inch),hooperSnowfall_sum (inch),hooperWindspeed_10m_max (mp/h)
10/1/1982,56,70,63,No,0,2.5,1,,1.4,49.3,42.2,45.2,0.387,0.387,0,10.8,49.5,44,46.7,0.239,0.239,0,14
10/2/1982,56,70,63,No,0,3.1,1,,1.4,57.8,40.1,49.2,0,0,0,8.2,56.3,44,50.7,0,0,0,9.3
10/3/1982,56,70,63,No,0,2.9,0.9,,1.3,59.7,40.3,50.3,0,0,0,5.1,57.4,44.9,51.5,0,0,0,5.2
10/4/1982,56,70,63,No,0,2.7,0.6,,1.3,65.1,43.6,54.3,0.056,0.056,0,8.9,62.2,48.9,55.3,0.036,0.036,0,11.6
10/5/1982,44,70,57,No,0,2.5,0.2,,1.2,50.3,41.1,46.3,0.115,0.115,0,8.1,50,43.8,47.4,0.084,0.084,0,11.9
10/6/1982,44,70,57,No,0,2.2,0,,1.2,59.6,36,48,0,0,0,8.1,58.5,42,49.8,0,0,0,11.3
10/7/1982,44,70,57,No,0,2.2,0,,1.2,52.6,36.6,44.7,0.166,0.166,0,12.6,51.7,42.8,47.4,0.124,0.124,0,17.6
10/8/1982,44,70,57,No,0,2.2,0,,1.2,46.9,32.9,40.1,0.008,0.008,0,8.9,46.8,38.9,42.8,0.004,0.004,0,12.9
10/9/1982,44,70,57,No,0,2.1,0,,1.2,49.5,32.5,41.4,0,0,0,8.4,48.9,37.7,42.8,0,0,0,11.4
10/10/1982,44,70,57,No,0,2,0,,1.2,50.6,32.9,42.6,0,0,0,6.7,49.7,36.9,43.8,0,0,0,10.1
10/11/1982,47,70,58.5,No,0,2.2,0,,1.1,52.4,34.4,44.7,0,0,0,3.4,50.7,37.6,45.3,0,0,0,5.7
10/12/1982,47,70,58.5,No,0,2.2,0,,1.1,59,35.1,47.9,0,0,0,3.8,55.8,38.9,48.3,0,0,0,6.5
